feature,importance
stress_level,0.25386205
injured_yesterday,0.22949451
hrv_drop,0.05807974
acwr_ratio,0.037400316
sleep_debt_3d,0.0366309
muscle_soreness,0.035218157
daily_distance_km,0.032157216
sleep_hours,0.02710482
history_injury_count,0.024773233
workout_intensity_minutes,0.020664483
active_calories_burned,0.017624896
chronic_load_21d,0.0133878
acute_load_7d,0.0116012655
floors_climbed,0.011532107
elevation_gained_m,0.00962305
acwr_ratio_std21,0.009380653
sleep_hours_ma7,0.009357271
spo2,0.009239386
energy_level,0.009236835
total_calories_burned,0.009036294
sleep_hours_std21,0.008884997
respiratory_rate,0.008776925
vo2_max,0.008745316
acwr_ratio_ma7,0.008687848
nutrition_intake_calories,0.008646495
daily_calories,0.0086099785
avg_power,0.0085817445
bmi,0.008561865
hrv_score,0.008497984
calorie_balance,0.008427232
avg_speed,0.008256979
age,0.008155933
max_speed,0.008103218
body_fat_pct,0.00798921
resting_hr,0.007906715
avg_cadence,0.0077625825
