Model,Threshold,Recall,Precision,F1,FPR
ExtraTrees,0.2,1.0,0.1095824876775877,0.19752021845072446,0.999674484464771
RandomForest,0.2,0.9943114168540812,0.11400488419008904,0.20455596984459626,0.9506843964128188
LogisticRegression,0.2,0.9915332715967721,0.11235533968939258,0.20183930951835943,0.9637375693754985
XGBoostDeep,0.2,0.8052652467257574,0.15283601576819744,0.2569113240197527,0.549144707931186
ExtraTreesTuned,0.2,0.7638576531287208,0.1610959209865521,0.266076818506486,0.4893800556631565
XGBoostRaw,0.2,0.6298452176213785,0.20656889968760847,0.3111053027085307,0.2976351296365619
RandomForestTuned,0.2,0.6189972218547427,0.20899589065570842,0.312485390857181,0.28822773066844615
XGBoostDeepCalibrated,0.2,0.34343167085593335,0.3404590163934426,0.34193888303477343,0.08185088133331163
XGBoostCalibratedTuned,0.2,0.3431670855933325,0.3416304490978533,0.34239704329461457,0.08136260803046826
GradientBoosting,0.2,0.3347003571901045,0.342493569784757,0.3385521209688211,0.07905144773034294
XGBoostCalibrated,0.2,0.283635401508136,0.385958595859586,0.32697880128107365,0.0555166745332921
