Model,Threshold,Recall,Precision,F1,FPR
LogisticRegression,0.2,0.9915332715967721,0.11235533968939258,0.20183930951835943,0.9637375693754985
LogisticRegression,0.22,0.9835957137187459,0.11367458642937957,0.20379634071129993,0.9435230546377826
LogisticRegression,0.24,0.9734091811086123,0.11539969573877448,0.20633763320246776,0.9180026366758354
LogisticRegression,0.26,0.9628257706045773,0.11786807456232691,0.21002510605142413,0.8865252844191989
LogisticRegression,0.28,0.9462891916920227,0.12061581006340213,0.21395988812945874,0.8487980338861673
LogisticRegression,0.3,0.9282973938351634,0.12387677641451143,0.2185845118684194,0.8077342491170391
LogisticRegression,0.32,0.9055430612514883,0.12764092714490835,0.2237439937240545,0.761413388453964
LogisticRegression,0.34,0.8798782907792037,0.13172122868516428,0.2291393922690002,0.7135626047753129
LogisticRegression,0.36,0.8571239581955286,0.13716814159292035,0.23649006259923713,0.6633192819127293
LogisticRegression,0.38,0.8292102129911364,0.14315404819001942,0.24415705827360548,0.6106183167591673
LogisticRegression,0.4,0.7971953962164308,0.14929884544868935,0.25149725590033595,0.5588450708810078
LogisticRegression,0.42,0.7634607752348194,0.1560362309044207,0.2591145833333333,0.5080320958317736
LogisticRegression,0.44,0.7317105437227146,0.1642025887661798,0.26821521227844725,0.45821194316498753
LogisticRegression,0.46,0.692419632226485,0.17234112611129404,0.27598934851960244,0.40910792467570517
LogisticRegression,0.48,0.6559068659875645,0.1814987004429476,0.28432159651336164,0.3639100926091698
LogisticRegression,0.5,0.6167482471226353,0.19077628186765969,0.29141142642830353,0.32185348545759346
LogisticRegression,0.52,0.577854213520307,0.20226904376012966,0.29965013377238114,0.2803828062694292
LogisticRegression,0.54,0.544251885169996,0.2162986330178759,0.30956770382632903,0.2426067284061132
LogisticRegression,0.56,0.5019182431538564,0.22935557973642848,0.31484170781295384,0.20748360215491285
LogisticRegression,0.58,0.46355338007672975,0.2443685054745798,0.32002922641337106,0.17634804121026676
LogisticRegression,0.6,0.4302156369890197,0.26497188951356637,0.3279548204921339,0.14682378216500383
RandomForest,0.2,0.9943114168540812,0.11400488419008904,0.20455596984459626,0.9506843964128188
RandomForest,0.22,0.9923270273845747,0.11472576550120829,0.20567307824131834,0.9420582347292524
RandomForest,0.24,0.9886228337081625,0.11537927094752119,0.20664196438447074,0.9325369053238066
RandomForest,0.26,0.9829342505622437,0.11639929815766387,0.20814948662996735,0.9179863608990739
RandomForest,0.28,0.9748644000529171,0.1184802881214226,0.2112823453515877,0.8923520124997966
RandomForest,0.3,0.9548882127265511,0.12224781518867285,0.21674699337867664,0.8435084064386973
RandomForest,0.32,0.9234025664770472,0.12851671822065105,0.22563074784632542,0.7703650656727592
RandomForest,0.34,0.8780261939409975,0.13744046386415407,0.23767659223978943,0.6779349294445077
RandomForest,0.36,0.8251091414208228,0.14896462776756073,0.252367079388201,0.5799384775638418
RandomForest,0.38,0.7676941394364334,0.1611496806442655,0.2663820606394455,0.49164238863299753
RandomForest,0.4,0.7146447942849583,0.175766252358951,0.2821403389653461,0.41229797692094855
RandomForest,0.42,0.6617277417647837,0.19090874394107096,0.2963270142180095,0.3450301915658925
RandomForest,0.44,0.6144992723905278,0.20620616176862291,0.3087917566893801,0.29102716427141484
RandomForest,0.46,0.5720333377430877,0.22140296979006657,0.3192439735686072,0.24748946143454698
RandomForest,0.48,0.5302288662521497,0.23566766625507143,0.3263046487014573,0.2115688221220358
RandomForest,0.5,0.49226088106892446,0.2507412398921833,0.33224697531139785,0.1809703618105174
RandomForest,0.52,0.4545574811483,0.26631529995349557,0.3358584624407409,0.15406650282384726
RandomForest,0.54,0.41513427702076994,0.28316188413643745,0.336677216887506,0.12929477059292654
RandomForest,0.56,0.3766371213123429,0.3044919786096257,0.33674374593411793,0.10584137627968294
RandomForest,0.58,0.34065352559862416,0.32727503812913067,0.333830297530304,0.08614768639833337
RandomForest,0.6,0.30189178462759625,0.3461771844660194,0.32252137658116037,0.070148597841832
RandomForestTuned,0.2,0.6189972218547427,0.20899589065570842,0.312485390857181,0.28822773066844615
