fold,seed,Model,holdout_athletes,ROC-AUC,PR-AUC,Recall@Threshold,Precision@Threshold,F1@Threshold,FPR@Threshold
1,42,LogisticRegression,200,0.7496623847654584,0.4228758649493151,0.9753375337533752,0.1754704148719111,0.2974308300395257,0.8950254877834417
1,42,RandomForest,200,0.7778161686796207,0.4554353655573673,0.997929792979298,0.173573385518591,0.295712475828499,0.927895939532431
1,42,GradientBoosting,200,0.7803787141765679,0.4699586103510871,0.6109810981098109,0.3657327586206896,0.4575665655544321,0.2069256459834768
1,42,XGBoostCalibratedTuned,200,0.7827366754956389,0.4720855348276334,0.5993699369936993,0.3780300879931876,0.4636379460400348,0.1925821761293724
1,42,XGBoostDeep,200,0.7823875943579592,0.4711550913710195,0.8836183618361836,0.233188436779971,0.3689977259486177,0.5674459483213219
2,43,LogisticRegression,200,0.7494699373235758,0.425608666378835,0.9776119402985076,0.1795822917506652,0.3034266639416854,0.898604486839781
2,43,RandomForest,200,0.7756568524316291,0.4570631371521216,0.9980684811237928,0.1772759878988241,0.3010752688172043,0.9319554848966614
2,43,GradientBoosting,200,0.7777537528232151,0.4688794777262297,0.61729587357331,0.3650950254439713,0.4588227616810232,0.2159865748101042
2,43,XGBoostCalibratedTuned,200,0.7799692906768257,0.4709561665134407,0.602721685689201,0.3760407537248028,0.4631316197800715,0.2012188659247482
2,43,XGBoostDeep,200,0.7796977323861072,0.4693012326921834,0.8870061457418789,0.2379976442873969,0.375297176820208,0.5714008125772831
