feature,importance
stress_level,0.23141806
injured_yesterday,0.16511898
hrv_drop,0.15850687
muscle_soreness,0.08748226
daily_distance_km,0.047629666
history_injury_count,0.045182224
sleep_hours_ma7,0.034333132
sleep_hours,0.032303948
sleep_debt_3d,0.02996066
workout_intensity_minutes,0.02938256
active_calories_burned,0.016517645
load_recovery_imbalance,0.014922005
hrv_score,0.008403846
acute_load_7d,0.007922427
elevation_gained_m,0.007804224
acwr_ratio,0.0076729623
floors_climbed,0.007506236
acwr_ratio_ma7,0.005802879
respiratory_rate,0.004420174
energy_level,0.0042866594
vo2_max,0.0041790586
spo2,0.004018963
calorie_balance,0.0037571366
max_speed,0.0036790257
bmi,0.0036522043
speed_intensity_ratio,0.0036012891
daily_calories,0.0035679133
avg_speed,0.0035511027
age,0.003510239
nutrition_intake_calories,0.0034260715
total_calories_burned,0.003416761
avg_power,0.0034099654
body_fat_pct,0.0033284563
avg_cadence,0.0032789004
resting_hr,0.0030456441
