feature,importance
acwr_ratio,0.09832028163391011
hrv_drop,0.07734413086799885
acute_load_7d,0.07095838559257925
sleep_debt_3d,0.07030217252930412
history_injury_count,0.06427631538945608
daily_calories,0.060183964718830286
chronic_load_21d,0.05893824482356963
sleep_hours,0.05492284423231007
total_calories_burned,0.05247654537007198
calorie_balance,0.052326018972767674
bmi,0.051007949512940805
hrv_score,0.047067406612253934
daily_distance_km,0.045823343995145115
resting_hr,0.04491555800165748
avg_cadence,0.04142750023340131
workout_intensity_minutes,0.04082000727971741
age,0.03539510639775625
vo2_max,0.03349422383632965
