Model,Threshold,Recall,Precision,F1
LogisticRegression,0.2,0.9938506588579795,0.14988738572963742,0.26048915268112977
LogisticRegression,0.22,0.9892630551488532,0.15097122087826967,0.2619641495534849
LogisticRegression,0.24,0.9833089311859443,0.15234782608695652,0.2638208720701846
LogisticRegression,0.26,0.9760858955588092,0.15434718856596027,0.26654583255590797
LogisticRegression,0.28,0.9653489507076622,0.1568322735129478,0.2698278449240171
LogisticRegression,0.3,0.9511957052220595,0.15969911997509054,0.27348244604720345
LogisticRegression,0.32,0.9326500732064422,0.16316041118814248,0.27773337015129274
LogisticRegression,0.34,0.9136163982430454,0.1674059235942195,0.2829632540774219
LogisticRegression,0.36,0.889311859443631,0.17213951027811367,0.2884460133284789
LogisticRegression,0.38,0.8616886285993167,0.17764720086932023,0.29456614224461536
LogisticRegression,0.4,0.8323084431429966,0.18407702437234202,0.3014778673454957
LogisticRegression,0.42,0.7979502196193266,0.19092437759820635,0.3081243050713303
LogisticRegression,0.44,0.7575402635431918,0.19825780411791755,0.31426778157964
LogisticRegression,0.46,0.7117618350414836,0.2054258106318844,0.31883170827685714
LogisticRegression,0.48,0.6674475353831137,0.21402860809415006,0.32412191306820876
LogisticRegression,0.5,0.6208882381649585,0.2243976434896109,0.3296538142620232
LogisticRegression,0.52,0.5695461200585652,0.2343844145410725,0.33210017074558906
LogisticRegression,0.54,0.5192776964372865,0.24450776725802004,0.33246883104708935
LogisticRegression,0.56,0.4658857979502196,0.2567785668173015,0.33107897201123715
LogisticRegression,0.58,0.4152269399707174,0.2694622157471337,0.3268285187461586
LogisticRegression,0.6,0.36105417276720353,0.28029097522164126,0.3155874072178142
RandomForest,0.2,0.9998047828208882,0.1486151212222335,0.258766168148747
RandomForest,0.22,0.9984382625671059,0.14884824144002562,0.2590735253146924
RandomForest,0.24,0.9920937042459737,0.15141673867055985,0.26273409933954583
RandomForest,0.26,0.9015129331381162,0.1917336156608748,0.3162147356888524
RandomForest,0.28,0.8718399219131283,0.21071007313045528,0.3393939393939394
RandomForest,0.3,0.8695949243533431,0.2124478359365685,0.34147182828669986
RandomForest,0.32,0.8681307955100048,0.2129942285125847,0.34206376677820083
RandomForest,0.34,0.8649097120546608,0.21357983031237948,0.34256664024897066
