Model,Threshold,Recall,Precision,F1,FPR
LogisticRegression,0.2,0.9991644908616188,0.13890179452929902,0.24389746465946896,0.9980479596129576
LogisticRegression,0.22,0.99822454308094,0.1391063891718818,0.2441847097145047,0.9954059739167017
LogisticRegression,0.24,0.9962402088772846,0.1396039748862123,0.24489114807968781,0.9893142616743795
LogisticRegression,0.26,0.9918537859007833,0.14027443392464145,0.2457879344703538,0.9794867480016828
LogisticRegression,0.28,0.9847519582245431,0.14141308097244926,0.2473115459266642,0.9633655868742111
LogisticRegression,0.3,0.9734725848563969,0.1430742309817646,0.24948141803728438,0.9394530921329407
LogisticRegression,0.32,0.9565535248041775,0.1450517080278099,0.25190461783877444,0.9084392090870845
LogisticRegression,0.34,0.9358746736292428,0.14785176874340022,0.255360984853882,0.8691123264619268
LogisticRegression,0.36,0.9114360313315927,0.15172905401881184,0.26015024145948845,0.8210349179638199
LogisticRegression,0.38,0.8809399477806789,0.15635716536600738,0.26557728031233274,0.7658729490954985
LogisticRegression,0.4,0.8392689295039164,0.1612197813220985,0.27048131942107034,0.7035591081194783
LogisticRegression,0.42,0.7948825065274151,0.16674334538284588,0.2756609923940601,0.6400336558687421
LogisticRegression,0.44,0.7484073107049608,0.17402073872604967,0.28238168420223037,0.5723685317627262
LogisticRegression,0.46,0.6944125326370757,0.1811716621253406,0.28736898973527825,0.5056962557846024
LogisticRegression,0.48,0.6368668407310705,0.18937888198757763,0.29194494314781566,0.43924274295330246
LogisticRegression,0.5,0.577023498694517,0.19705399814537414,0.2937814053651663,0.3788472864955827
LogisticRegression,0.52,0.5159268929503916,0.206452691407556,0.29489896427185625,0.31952881783761045
LogisticRegression,0.54,0.4552480417754569,0.2165639904610493,0.29350570649429353,0.2653596970971813
LogisticRegression,0.56,0.4029242819843342,0.23112868439971243,0.2937526173525717,0.2159697097181321
LogisticRegression,0.58,0.35049608355091383,0.24566283580996998,0.28886211051816146,0.1734118636937316
LogisticRegression,0.6,0.2994255874673629,0.26058898382112344,0.27866064052097,0.13689524610854018
RandomForest,0.2,1.0,0.13876811594202898,0.2437161947184219,1.0
RandomForest,0.22,1.0,0.13876811594202898,0.2437161947184219,1.0
RandomForest,0.24,1.0,0.13881036257411675,0.2437813478626168,0.9996466133782078
RandomForest,0.26,0.9992689295039164,0.13902127164942463,0.24408474597890278,0.9971560790912916
RandomForest,0.28,0.9961357702349869,0.13951583412564908,0.2447523736207339,0.9899368952461085
RandomForest,0.3,0.9908093994778068,0.1406836212649218,0.24638358654720166,0.9751451409339503
RandomForest,0.32,0.9792167101827676,0.1426767100357605,0.24906362066675522,0.9480689945309213
RandomForest,0.34,0.9548825065274151,0.14603331789359358,0.25332483652887067,0.8997223390828776
RandomForest,0.36,0.9147780678851175,0.15188929543759863,0.26052169774843104,0.8230206142196046
RandomForest,0.38,0.8583812010443864,0.16016759232193314,0.26996222696666117,0.7252166596550274
RandomForest,0.4,0.7896605744125327,0.16816048751195428,0.2772745608566504,0.6293984013462347
RandomForest,0.42,0.7172845953002611,0.17820908689898543,0.2854886311676435,0.5329575094657131
RandomForest,0.44,0.6388511749347259,0.18861001480019735,0.29123717475658817,0.4428270929743374
RandomForest,0.46,0.5592689295039165,0.19897447330286477,0.2935211576408682,0.36277660917122423
RandomForest,0.48,0.48866840731070493,0.21326344576116682,0.29693796604791367,0.2904669751787968
RandomForest,0.5,0.4163968668407311,0.22824593542477672,0.2948637355323004,0.2268573832562053
RandomForest,0.52,0.3434986945169713,0.2405822544071392,0.2829734147810376,0.1747076146403029
RandomForest,0.54,0.2810443864229765,0.2579315633087319,0.26899240303878447,0.1302818679007152
RandomForest,0.56,0.22360313315926894,0.27340058740901546,0.2460071239802367,0.09575094657130837
RandomForest,0.58,0.17451697127937338,0.29326079326079324,0.21881752111569436,0.06776609171224232
RandomForest,0.6,0.13305483028720627,0.31179637787567305,0.18651636044213454,0.04732015145140934
RandomForestTuned,0.2,0.8515926892950392,0.1599262542658769,0.2692822113241195,0.7207740849810685
RandomForestTuned,0.22,0.7507049608355091,0.1730172102539415,0.2812206572769953,0.5781573411863694
RandomForestTuned,0.24,0.6488772845953003,0.18894261472493384,0.29266569315558905,0.4488010096760623
RandomForestTuned,0.26,0.5460052219321149,0.20337664358515523,0.2963634817607211,0.3446024400504838
RandomForestTuned,0.28,0.4562924281984334,0.22157419616593976,0.2982965213532243,0.2582919646613378
RandomForestTuned,0.3,0.37650130548302874,0.23929638234317954,0.29261363636363635,0.1928481278923012
RandomForestTuned,0.32,0.30861618798955615,0.25973455216665203,0.2820733104238259,0.14172486327303324
RandomForestTuned,0.34,0.24490861618798956,0.28070385444098633,0.26158737241340846,0.10111905763567522
RandomForestTuned,0.36,0.1906005221932115,0.3009068425391591,0.23337595907928388,0.07135044173327725
RandomForestTuned,0.38,0.149556135770235,0.3264933880528956,0.20514289807320393,0.04970971813209928
RandomForestTuned,0.4,0.113733681462141,0.3489266260813842,0.1715500945179584,0.0341943626419857
RandomForestTuned,0.42,0.08532637075718015,0.36752136752136755,0.13849805051703679,0.02366007572570467
RandomForestTuned,0.44,0.062349869451697126,0.38367609254498714,0.10726799029736771,0.016137989061842658
RandomForestTuned,0.46,0.043550913838120105,0.396011396011396,0.07847196085811065,0.010702566259991586
